day,cpue
-2,0.00
-3,1.60
0,0.00
1,3.95
2,0.00
3,3.51
4,1.58
5,0.00
6,0.00
7,4.74
8,0.00
9,4.74
10,7.90
11,22.11
12,0.00
13,1.58
14,3.16
15,9.47
16,9.54
17,3.16
18,4.74
19,6.32
20,7.90
21,25.26
22,20.53
23,12.63
24,26.84
25,14.21
26,55.61
27,0.00
28,6.32
29,12.63
30,1.58
31,6.32
32,0.00
33,7.90
34,0.00
35,0.00
36,0.00
